loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
20.0,0.9133358085446093,0.9065337864984688,0.26427273044911376,0.2713701624948583,0.035310872147069815,0.0636598876544572,0.0005131889712147314,1.0
5.0,0.9150316945969953,0.8994126976246346,0.26099990696195396,0.2845646574456128,0.034792154429813815,0.06368943969475006,0.0005427410115075998,2.0
9.0,0.9007174323324649,0.9564957143915691,0.2851791649103498,0.17889986988002252,0.03553485926705602,0.06208724041338681,0.001059458269855651,3.0
3.0,0.9040121004257752,0.9423714758707374,0.2781524302769372,0.21311679769557187,0.03549927143636772,0.06200475454308404,0.0011419441401584254,4.0
14.0,0.9188346461983752,0.8810725393552366,0.2555959280344849,0.306608541239966,0.03449915974690523,0.06463024311144347,0.0014835444282010057,5.0
13.0,0.9088303068281316,0.9202505342643044,0.2697183788110367,0.2550864149214144,0.03484206397016471,0.06487292967352362,0.001726230990281158,6.0
21.0,0.9221602279101021,0.8718183077660967,0.24853360541413513,0.3275792550473786,0.034278850031092274,0.06530120521396503,0.0021545065307225636,7.0
6.0,0.900940033535708,0.9578776146302603,0.2846228324629965,0.1766758222188022,0.036245417031066665,0.06077435608846691,0.0023723425947755547,8.0
8.0,0.899460498439029,0.9603968669460627,0.2852503705964456,0.1751455827374944,0.03623106637212958,0.059538768188577756,0.0036079304946647073,9.0
11.0,0.899537808239472,0.9620180320262571,0.2847287322010349,0.17244674716895578,0.03664620574985108,0.058172460509513656,0.004974238173728808,10.0
23.0,0.8991175921369886,0.9676656592369475,0.2867019987609582,0.15600852123549228,0.03649644734126276,0.05734219824295826,0.005804500440284202,11.0
17.0,0.8949849080805449,0.989449578583141,0.29530936924529255,0.08534921964959233,0.037498795610862314,0.05616452427904452,0.006982174404197947,12.0
