feature,importance
A38,6.556073794191911e-05
B23,0.6078704685738625
B48,0.10235694391851638
B55,0.04494300902702431
A48,0.02644408122340119
A47,0.016511480800321946
B6,0.015200470118412067
B9,0.010835835146734273
B49,0.010435520708334957
A23,0.010208310294485087
A55,0.009079499851689751
B42,0.0076607819465026915
A45,0.006748499278454043
B29,0.006674793207247349
B17,0.006660008414316417
B11,0.0061494703942102606
A49,0.005265604233928203
A50,0.004743395652080091
B47,0.004466341510395396
A46,0.00415010825594071
B4,0.0036297117890136637
B45,0.0036021835550991825
A6,0.0032440370333270854
A1,0.003232102759940108
B46,0.003133368040830158
B12,0.0030057503392789207
B21,0.002970194526955322
B50,0.002889856573116385
A9,0.002859727872236953
B28,0.0025516224015938163
A40,0.002497916021207513
B7,0.0024893920771950884
B40,0.0023631699958897
A11,0.002224039552639065
B2,0.002167175698536428
A7,0.001996240802788697
B43,0.001733659362843937
A18,0.0015692585425543268
B18,0.0014480071734418191
B53,0.0014388192593590412
A4,0.0014234591787733424
B13,0.0012753424499979595
A2,0.0012436711686446065
B1,0.0012191758450989046
B10,0.0011888254355385268
B32,0.0011058439946778956
A10,0.0010970910694629182
B15,0.0010866787523157292
B41,0.001022856944407944
B19,0.0009743726761929428
B44,0.0009566277469894379
B30,0.0009532255681564554
A17,0.0009091947320425948
A19,0.0008696777301226187
A14,0.0008653849120091076
B3,0.0008597090318952981
A43,0.0008485391212438605
B27,0.000847811717540651
B36,0.0008299838101615961
A53,0.0008215893941585812
A12,0.0007869279217363393
A52,0.0007760942265635781
A27,0.000750564648102513
A28,0.0007431879296071511
B52,0.0007330640147981335
B5,0.0007234852773351976
B14,0.0006589182813746175
B54,0.0006308974631102615
B26,0.0006207809810615417
A21,0.0006016236748661193
A13,0.0005918491664362316
B25,0.0005912344336307157
B37,0.0005892918729270265
B22,0.0005878870524544179
A29,0.0005714199860790207
B51,0.0005253008408496057
A42,0.0005241050653951499
A22,0.000514700561673401
A54,0.0005061941400099709
B38,0.0004970001919619874
A36,0.0004937185246289272
A5,0.0004838982449710482
B8,0.0004735609769683187
A44,0.00046858824526031063
B34,0.0004634952719426715
A51,0.0004604036548325833
A35,0.0004375754829699062
A15,0.00040601604798521664
B24,0.00038795421430619115
B16,0.00036064456019463306
A3,0.00035431861728288004
A41,0.0003506365487166064
B35,0.0003426018782270947
A24,0.0003277898750137904
A31,0.0003187555392564368
A37,0.0003151309613609108
B20,0.00029295744438360104
A39,0.0002748548058051725
A8,0.00026779249182768864
A30,0.0002584471711333079
B31,0.00024407024941202926
A26,0.0002380509651215264
A25,0.0002255648831701751
A32,0.00022145623304288949
B39,0.00022024506877139585
A33,0.00020289281880009932
A20,0.0001803395819429742
A16,0.00018033760063227087
A34,0.00017792538645356007
B33,0.00012997097453512903
