loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
9.0,0.9988570132989334,0.9942654093075316,0.04810270492686149,0.10907107798141191,0.009071527258290456,0.06209985990189223,0.0001251250775038265,1.0
24.0,0.9991051505799584,0.9950406446319204,0.04266069932483421,0.10055586432655092,0.008909198844885299,0.06175584990141819,0.00021888492297020973,2.0
20.0,0.9987600995148807,0.9939697287327566,0.050207573371378475,0.11083900703722845,0.008963868857664528,0.062369655576328537,0.00039492075194013515,3.0
5.0,0.9988156311827295,0.995882761970703,0.048948303107569834,0.09257371789625672,0.00986228053399262,0.062383556392242336,0.0004088215678539342,4.0
11.0,0.9992907213708482,0.995595120343757,0.03793013772828305,0.09526221943182915,0.00830676290914965,0.06148301960702974,0.0004917152173586625,5.0
23.0,0.9990839245432845,0.9948375546072047,0.04324900719675165,0.10178599632357932,0.00863789764480357,0.061401798772868964,0.0005729360515194376,6.0
22.0,0.9988678164105381,0.9937384698316301,0.047868706988555075,0.11403910659732737,0.009542216124456352,0.06274481807132762,0.0007700832469392169,7.0
18.0,0.999179898654066,0.9957624704373601,0.0406090934616388,0.09501975067874707,0.008893060584898572,0.0633770240959465,0.0014022892715581034,8.0
2.0,0.9990872511949959,0.9952472760921763,0.043138413073544324,0.09793572553595216,0.008763885184218627,0.06048571084672287,0.001489023977665531,9.0
4.0,0.9987106157211486,0.9948084637770807,0.05087033942701363,0.10555317872228391,0.00951288765006401,0.06351803336771686,0.0015432985433284571,10.0
16.0,0.9990856313307624,0.9951245925522619,0.043077414061834296,0.09996924267599107,0.008401539284730216,0.06352663080134988,0.0015518959769614746,11.0
21.0,0.9991813239414209,0.9951353378476688,0.0408358322150244,0.09927830506224652,0.008907575576169452,0.06024878275526056,0.0017259520691278382,12.0
13.0,0.9992350223985431,0.9956090081742397,0.039222955745323425,0.09669238827295894,0.008915480416738428,0.06014913131501446,0.0018256035093739409,13.0
12.0,0.998923112119689,0.9920869018923609,0.0466667318791013,0.12832592830798148,0.009030086613419515,0.06382149532169727,0.0018467604973088705,14.0
10.0,0.9990879927861968,0.9963127505609548,0.042903599435301316,0.08801596881326507,0.009096070439710231,0.059928944795221394,0.002045790029167008,15.0
6.0,0.9992653985747497,0.9957005178992098,0.03876172582220202,0.0925687283914006,0.008732453495010204,0.05981788040394271,0.002156854420445692,16.0
8.0,0.9991011200625262,0.9958361208102418,0.04314029299966478,0.0887150089858828,0.009403974187654483,0.059635556790776346,0.002339178033612055,17.0
3.0,0.9991778465605464,0.9961899330013918,0.04088221421222365,0.08821344463238605,0.008771849438987117,0.05947820930079395,0.002496525523594452,18.0
15.0,0.9992687059500188,0.9953238501532307,0.038534820559675186,0.09793499223853774,0.00866541470746322,0.06467290396626778,0.0026981691418793766,19.0
7.0,0.9991503277904007,0.995728962107325,0.04186478069484404,0.09062593477526772,0.009040855662485199,0.05923568280384515,0.0027390520205432534,20.0
17.0,0.9988346197831341,0.9940558559083202,0.04859453906110568,0.11089772025895489,0.008601432937082947,0.06497944223862066,0.003004707414232262,21.0
19.0,0.9987542269383313,0.9921171144915593,0.05072842141819434,0.12271883527927858,0.008812972339450047,0.06600228036575077,0.004027545541362372,22.0
1.0,0.999250218880355,0.9967342524285142,0.03889840490794681,0.08283296692024479,0.008896185306256365,0.05755341753454081,0.004421317289847591,23.0
14.0,0.9989889480177077,0.9932744382149747,0.045268972862212625,0.11755943346510585,0.009152145911563617,0.06672395085874629,0.004749216034357885,24.0
mean_rbf,0.9990442757335737,0.9949323973239322,0.04387357018671185,0.10112435594211118,0.008953817579547699,0.0619747348243884,NAN,NAN
std_rbf,0.00017974892502079296,0.0011896668587604634,0.004089720836229422,0.011395431458938017,0.0003508990155144178,0.002263132394729609,NAN,NAN
rf_loop,rf_train_r2,rf_test_r2,rf_train_rmse,rf_test_rmse,rf_train_mae,rf_test_mae,rf_mae_error,rf_mae_error_index
9.0,0.992738775909853,0.9743662437248433,0.1212422059881116,0.23060276910181893,0.09094352748552674,0.16049418317680425,4.5094297839443076e-05,1.0
4.0,0.9926773086458162,0.9749423462056666,0.12122963979653871,0.23189616930075632,0.09106159053932802,0.1602866374516634,0.00025264002298028276,2.0
7.0,0.9931619815956615,0.9724847628871235,0.11876493796824611,0.2300236109505151,0.08923307418151122,0.1607932716785613,0.0002539942039176124,3.0
3.0,0.9923369655657216,0.9763015412866018,0.12481257955627556,0.22000296077448345,0.09298187643715085,0.1615537932439678,0.001014515769324098,4.0
