loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
21.0,0.9631081515276116,0.9244687670583679,0.07322799306140124,0.11061424634209162,0.043244102865140875,0.07253602320670234,3.661799869622562e-05,1.0
10.0,0.9648817273031155,0.9114298192787604,0.07205031598582531,0.11603037719591751,0.04383420330494012,0.07239045314386261,0.00010895206414350544,2.0
7.0,0.9650940598865698,0.9106165281383523,0.07209300604400277,0.11494820857490551,0.04275013812886334,0.07265564273264005,0.00015623752463393703,3.0
4.0,0.9615886379162111,0.9156971205126915,0.07588767262539724,0.1100688319723784,0.044323716276566276,0.0727511237488244,0.0002517185408182909,4.0
1.0,0.962799478088429,0.9204495034642619,0.07510055600344104,0.10438646667923146,0.04392496769497191,0.07277450119582556,0.00027509598781944034,5.0
2.0,0.9614043059291237,0.9272041353133078,0.07516074822458749,0.10714075889139425,0.04334455602567931,0.07221578790636461,0.00028361730164150334,6.0
22.0,0.9625367094914433,0.9184830774898934,0.07496550726946537,0.10808901838775431,0.043609101596358946,0.07293442169990007,0.00043501649189395253,7.0
12.0,0.9631472999634041,0.9144639123697045,0.07398230873073004,0.11298524693847638,0.0439062461915162,0.07322299396316866,0.0007235887551625408,8.0
14.0,0.9627761278172818,0.9227916346637128,0.07424694897547386,0.10799197327310714,0.043238931820731165,0.07170701030124915,0.000792394906756963,9.0
17.0,0.9625767206895166,0.9244248832971572,0.07445354513062159,0.10679708316885107,0.04371357237030224,0.07168853928267968,0.0008108659253264344,10.0
5.0,0.9629622794575721,0.9237430345711881,0.07383771421128556,0.1085621583667026,0.04355069289180327,0.07335693462691281,0.0008575294189066968,11.0
20.0,0.9624507117181142,0.9173036286112913,0.07424496619584844,0.11365046893474236,0.04382581074011326,0.07142998065346082,0.001069424554545298,12.0
18.0,0.9626656794921873,0.9159411532138511,0.07445459606560226,0.11208320553200687,0.04361308865944547,0.07384969210186428,0.0013502868938581603,13.0
19.0,0.9630307016931842,0.9168388036600761,0.07375221609807954,0.11346766491182636,0.04358378217951871,0.07388182746700382,0.0013824222589977064,14.0
11.0,0.9617908674836103,0.9280870676049464,0.07504555372187544,0.10507960500298746,0.044423692663096266,0.07091882377454843,0.001580581433457684,15.0
6.0,0.9633834566770396,0.9124591516376749,0.07351822037910194,0.11564491211986738,0.04345538605617968,0.07414322763996403,0.001643822431957917,16.0
24.0,0.9623806854774574,0.9137627811407466,0.07478293526842494,0.11323919895129263,0.04340155565349585,0.07417326926963488,0.0016738640616287687,17.0
23.0,0.9611295617122074,0.9261517860084341,0.0755718496753028,0.10703974542502162,0.04434819797578621,0.07046330923466229,0.002036095973343824,18.0
3.0,0.964280099683846,0.9102343956612751,0.07318686307923487,0.11347653263622275,0.043565735086857994,0.07503098029162346,0.0025315750836173434,19.0
13.0,0.9618011037542509,0.9201298759374056,0.0751398313518467,0.11024982881064589,0.044782908085202765,0.06987974450114862,0.002619660706857499,20.0
16.0,0.9647173952512177,0.9101362413966144,0.0722847266365378,0.11649908998890302,0.04323250833602286,0.0752693179190346,0.0027699127110284855,21.0
