loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
17.0,0.7750538956287621,0.7694560926317231,0.4021981584807071,0.4135710379411852,0.34090415248461703,0.3474043420785112,5.7979674962072014e-05,1.0
19.0,0.7731680797694276,0.7762162640493462,0.4027243415158308,0.4123362984285517,0.3404761010271333,0.3481089665998616,0.0007626041963125219,2.0
18.0,0.7723138445307244,0.7677309222215495,0.4056621536320178,0.4115218159180644,0.343330546348153,0.3492004036884739,0.001854041284924779,3.0
20.0,0.7756581711217296,0.7611999460314477,0.40296553455117007,0.41550043399303377,0.3415243522880528,0.34994406042330084,0.0025976980197517374,4.0
6.0,0.77567317255438,0.7699584689010518,0.40427528204101115,0.40295804652271144,0.3441340498426294,0.3444931257820951,0.0028532366214539806,5.0
9.0,0.7758992719123672,0.7647699417035818,0.40351222086828503,0.40957211141726535,0.3423138459592898,0.34439898947530867,0.0029473729282404326,6.0
10.0,0.7715863725386487,0.7783645021043111,0.40562879420770515,0.4046977419040986,0.3425607245848612,0.3442581689667565,0.003088193436792619,7.0
14.0,0.7773569052994059,0.761436193842671,0.4030516038169339,0.40914868835272433,0.34206275480283216,0.3441475252256343,0.003198837177914804,8.0
11.0,0.7758697702583921,0.7604782056335575,0.40267176620623046,0.41711479097098086,0.34095445660214263,0.3507931135616183,0.0034467511580691945,9.0
4.0,0.7755344848443972,0.7637231158142092,0.4028149933141704,0.4143344481769666,0.3409502899419712,0.350906145878852,0.003559783475302891,10.0
22.0,0.7745292468328047,0.7643392229090196,0.40377112404556026,0.41416349254153895,0.3413807793329358,0.3519885004843372,0.004642138080788116,11.0
7.0,0.7750926376412306,0.7659263652847812,0.40489861799109456,0.4060350681552558,0.34340723834172837,0.34265471627964816,0.004691646123900939,12.0
23.0,0.7766937094293057,0.7564813243261475,0.40230679007626124,0.41891664444988336,0.3406694439830285,0.3521673496336226,0.004820987230073515,13.0
8.0,0.7764416123034699,0.7531246029138079,0.40340358456677117,0.41799515608274007,0.3418092885447174,0.3525849496476599,0.005238587244110804,14.0
13.0,0.776816413233579,0.7592952398039188,0.40508667973645435,0.40423061361762147,0.3425660363857512,0.34133862796980285,0.006007734433746248,15.0
2.0,0.7722959955728308,0.7738769496955903,0.40636015238682904,0.4032056615094377,0.3445424637694794,0.3381465349633368,0.009199827440212305,16.0
21.0,0.7718969632406931,0.7807611720247583,0.40615578573103756,0.39928503720299413,0.3456744205128681,0.33805911423236845,0.009287248171180651,17.0
3.0,0.7746214866291784,0.7613270230308835,0.4029337778255484,0.4196402569205435,0.3393192834805752,0.35685038469483693,0.009504022291287828,18.0
12.0,0.7757086188378485,0.7653128399393416,0.40582650138724885,0.40039732770448344,0.34465025135265553,0.3374959676404184,0.00985039476313071,19.0
5.0,0.7761817223950395,0.7662238730044894,0.401110652612963,0.4171078967990036,0.34063702094417053,0.3591117009247174,0.01176533852116829,20.0
24.0,0.7698508486665774,0.785895445912353,0.4076151186265939,0.3960467882337047,0.3448653367916253,0.3351859887386281,0.01216037366492101,21.0
16.0,0.7794662447423732,0.7513199388529785,0.4000280416454236,0.4224456875554572,0.3395550128208671,0.35981488906994114,0.012468526666392032,22.0
1.0,0.7741139248771177,0.7733740038000454,0.4066743447980594,0.39571339864686017,0.34467703742671285,0.3344155308766287,0.012930831526920428,23.0
15.0,0.776433793630448,0.7563251459249121,0.4007614252623378,0.4265406125479398,0.3381556419265136,0.3628436008488204,0.015497238445271289,24.0
mean_rbf,0.7749273827704473,0.7661215333481864,0.403851560221927,0.41051996064971025,0.34213002206230464,0.3473463624035491,NAN,NAN
std_rbf,0.0021129913334599856,0.008500668172202566,0.0019365027338291562,0.008231061886003302,0.001925032329140092,0.007663870820271147,NAN,NAN
