loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
8.0,0.9761196159237189,0.9685472618401979,0.05940000223334675,0.06919662310479152,0.02793130047306228,0.0422210449486834,4.466996380275701e-05,1.0
9.0,0.9758727495547893,0.9668643215432732,0.059881212690155124,0.07015400473060965,0.028245721206517777,0.04220147942005723,6.423549242892679e-05,2.0
15.0,0.9765837095225053,0.9599315446133272,0.05857780810306831,0.07931765378794876,0.02840977272619746,0.04214485574160934,0.00012085917087682058,3.0
1.0,0.9754992859253073,0.9628817170457552,0.060338699614198896,0.07435021858043439,0.028349128952272113,0.04247769051411871,0.00021197560163255247,4.0
7.0,0.9767014852705279,0.9643207680793885,0.058632483426573484,0.0739004457394018,0.02825400033952732,0.04202838218691237,0.00023733272557378837,5.0
21.0,0.9782103983966969,0.9608244524993376,0.05695263600354075,0.07609885467138176,0.028002734424078923,0.0428135789447312,0.000547864032245042,6.0
10.0,0.9781954660560656,0.9582537485528568,0.05720198377459976,0.07725717353765606,0.027895396575798533,0.042826716555551494,0.0005610016430653356,7.0
4.0,0.9777239120960312,0.962371105462861,0.057677837264050257,0.0741096999890296,0.027774324615921473,0.04283650259546924,0.000570787682983083,8.0
5.0,0.9786125451647022,0.9492575425657518,0.05668719322311393,0.08497620530625656,0.028478715679489796,0.04287998315149274,0.0006142682390065796,9.0
3.0,0.9774071022987717,0.9626558100772594,0.05811733358086561,0.07353323229117574,0.027998395357781015,0.043116838360631994,0.0008511234481458352,10.0
16.0,0.9778605764268893,0.964620472495965,0.05717297771770561,0.07349524656488725,0.02838633125545533,0.04140800211739468,0.0008577127950914823,11.0
13.0,0.9749511839291983,0.96814481603184,0.06067700033934241,0.0703537880528532,0.028330183036447854,0.041388483370759045,0.0008772315417271137,12.0
24.0,0.9762971638608638,0.9655852492365792,0.059362840053581015,0.07150857065937123,0.028191403368911887,0.041338801172773526,0.0009269137397126329,13.0
18.0,0.9779728374773375,0.9624795381497924,0.05714034363002447,0.07502563705361329,0.027635813919249234,0.04328986459127891,0.0010241496787927531,14.0
19.0,0.97891097181124,0.9584648405793781,0.05615664852734296,0.0775801096958149,0.027768256585676748,0.043294508464617215,0.0010287935521310562,15.0
11.0,0.9761950493206087,0.9640039870048899,0.059564592695090485,0.07272674881556952,0.028475293060783835,0.0410851230628567,0.0011805918496294587,16.0
22.0,0.976404305875007,0.9672519278788141,0.05935010828953973,0.06919138617699987,0.028689059067779098,0.041011756291352154,0.0012539586211340048,17.0
17.0,0.9761553020983412,0.9593824403495911,0.05941721214252407,0.07827988162458734,0.028092965971506442,0.04354516149231315,0.0012794465798269886,18.0
14.0,0.9794579160763398,0.9532322916461468,0.05543600901080972,0.0823125648999801,0.027576245417367803,0.04368651072242748,0.0014207958099413179,19.0
20.0,0.9775249930184885,0.9634751409589952,0.05770758619962493,0.07409933264732764,0.028334877058011874,0.04062707736676217,0.0016386375457239921,20.0
6.0,0.9770083092988263,0.9612605945884255,0.05808411261812224,0.07780361997540712,0.028023272961457082,0.04392958403057171,0.0016638691180855536,21.0
2.0,0.9770597447151318,0.9637348313234054,0.05773191733772781,0.07664578143507308,0.027746924555907576,0.04437326784336901,0.0021075529308828486,22.0
23.0,0.975914381140276,0.9671576048887014,0.0604497941816022,0.06682667749347866,0.02863408265013882,0.04004487179476603,0.0022208431177201324,23.0
12.0,0.9762217082690066,0.9675125375481931,0.05948709883811494,0.06933900377857988,0.02861456876537569,0.03980707315916844,0.0024586417533177182,24.0
mean_rbf,0.9770358630636111,0.9625922727066968,0.05838355964561107,0.07450343585884286,0.028159948667696496,0.04226571491248616,NAN,NAN
std_rbf,0.0011285205832899168,0.004542195552158364,0.0013967467761110653,0.004263985594002022,0.0003177467267858669,0.0011925177518443124,NAN,NAN
rf_loop,rf_train_r2,rf_test_r2,rf_train_rmse,rf_test_rmse,rf_train_mae,rf_test_mae,rf_mae_error,rf_mae_error_index
13.0,0.9829479714706928,0.9493332845712941,0.0500631907892767,0.08872761399415163,0.035552265527279345,0.06205881047047911,6.397729706777988e-05,1.0
4.0,0.9829836801366996,0.9411666905387838,0.050410653347649735,0.09266718376837425,0.03579281875266309,0.062288619067627275,0.00016583130008038238,2.0
8.0,0.9823838384819371,0.9490604432805637,0.05101776739530749,0.0880609267624916,0.036050072181863374,0.06184025065365304,0.00028253711389385205,3.0
17.0,0.9841707334942281,0.9413503751863894,0.04841130101203294,0.09406452481053323,0.03429984439358125,0.0624364104336487,0.00031362266610180517,4.0
23.0,0.9819608168542058,0.943558827269726,0.05231477425533858,0.08760531851316604,0.03646361330732484,0.06247042285377926,0.0003476350862323674,5.0
21.0,0.984057269815363,0.9401317571161679,0.048715877868092186,0.09407383289706926,0.035197582535669826,0.06173015455382805,0.0003926332137188446,6.0
16.0,0.9818156528020726,0.9447155929620474,0.0518151207748939,0.09187229490211939,0.03660901755615879,0.06256124044003343,0.0004384526724865376,7.0
9.0,0.9818813197109302,0.9446162450552715,0.051891945304415384,0.09069758694286362,0.03637515265955514,0.06285324021804939,0.0007304524505024959,8.0
18.0,0.983544453461883,0.9467620045909593,0.04938780506216837,0.08936890797558628,0.03529210925218591,0.061360206409440246,0.0007625813581066468,9.0
22.0,0.9836836545520793,0.9460689740451083,0.049353343823796726,0.08879295375566812,0.03524430386751666,0.06135153469258476,0.0007712530749621332,10.0
3.0,0.9834813826912383,0.9399106684693714,0.04969429785198295,0.09327619494650674,0.0348669640174433,0.0629306238804081,0.0008078361128612058,11.0
11.0,0.9835336072573627,0.9467559535204191,0.049539745164221584,0.08845094968635751,0.03562213773417897,0.06129127979606128,0.0008315079714856094,12.0
15.0,0.9822869197416798,0.943074187719817,0.05094729303864605,0.09454164986383458,0.036140415269379916,0.06299568930091916,0.0008729015333722653,13.0
2.0,0.9832069244184409,0.9444664582480966,0.04939488505868315,0.09484645246109645,0.035030275979355784,0.06302019247980889,0.0008974047122619969,14.0
1.0,0.9828160393817521,0.9460019899909561,0.050532200375852376,0.08967619818750854,0.0354504533470324,0.06114849755839946,0.0009742902091474312,15.0
7.0,0.9835955058225282,0.9451535675789206,0.049198922725042456,0.09162489739497391,0.03512396949472791,0.061143212164944234,0.0009795756026026586,16.0
14.0,0.9836713925827494,0.9294242046183401,0.049424727198488234,0.10111625594416626,0.03544026696535644,0.06317578754071226,0.001052999773165371,17.0
19.0,0.9847566529105346,0.936309951545864,0.04774336953326285,0.09606788690476742,0.03452153649218364,0.06088541197556809,0.0012373757919788009,18.0
24.0,0.9824502365175924,0.9430438069876607,0.05107991280582868,0.09199331297627783,0.03596203877964559,0.06346683027896695,0.0013440425114200558,19.0
12.0,0.9818202369330822,0.9483191283885762,0.052014756889517094,0.08745499457257407,0.03677034110835017,0.06055386182701528,0.0015689259405316097,20.0
10.0,0.9833792685808438,0.9399502712257419,0.04994163451789084,0.092658571003667,0.035395731922345505,0.05990165486228185,0.002221132905265044,21.0
20.0,0.9839660381412614,0.9452316988032686,0.04874200774904413,0.09073705039569605,0.035061325524447344,0.05982973918388072,0.00229304858366617,22.0
6.0,0.984218620713006,0.9385003253544781,0.048122079189359776,0.09803016591342649,0.034472704563411866,0.06476941447484241,0.00264662670729552,23.0
5.0,0.9844165181703644,0.9260463054996556,0.04838799764832138,0.10258680938310431,0.035231451706014126,0.0648838213041933,0.002761033536646411,24.0
mean_rf,0.9832095306101053,0.9424563630236449,0.049922733724129725,0.09245802224816585,0.0354985997057363,0.06212278776754689,NAN,NAN
std_rf,0.0008556376295368792,0.005523667947658677,0.0012766659661906765,0.00394515720115684,0.0006539955174529259,0.0012736821456781418,NAN,NAN
